Fecha;P
ene-16; $25,396,815.46 
feb-16; $27,546,955.97 
mar-16; $28,073,091.34 
abr-16; $28,040,800.46 
may-16; $28,123,568.56 
jun-16; $27,437,973.43 
jul-16; $27,381,219.11 
ago-16; $29,088,026.44 
sep-16; $28,606,098.01 
oct-16; $28,455,247.19 
nov-16; $27,287,406.67 
dic-16; $29,255,447.21 
ene-17; $28,589,358.34 
feb-17; $26,600,854.41 
mar-17; $28,251,219.88 
abr-17; $28,765,845.87 
may-17; $29,455,011.74 
jun-17; $28,475,246.24 
jul-17; $29,381,047.54 
ago-17; $28,201,654.46 
sep-17; $26,948,239.75 
oct-17; $33,788,878.12 
nov-17; $24,888,031.05 
dic-17; $29,338,673.65 
ene-18; $31,525,813.11 
feb-18; $25,399,764.71 
mar-18; $27,245,890.77 
abr-18; $26,936,206.59 
may-18; $29,544,758.38 
jun-18; $29,078,429.02 
jul-18; $28,899,046.46 
ago-18; $27,923,817.42 
sep-18; $26,523,579.72 
oct-18; $29,256,451.37 
nov-18; $28,301,614.33 
dic-18; $27,364,839.95 
ene-19; $27,546,368.10 
feb-19; $28,070,540.09 
mar-19; $27,409,161.06 
abr-19; $28,527,301.67 
may-19; $27,412,849.80 
jun-19; $26,336,386.81 
jul-19; $28,919,529.98 
ago-19; $27,317,056.49 
sep-19; $27,575,228.11 
oct-19; $27,783,940.12 
nov-19; $27,377,810.80 
dic-19; $26,326,011.89 
ene-20; $27,227,513.27 
feb-20; $25,881,272.48 
mar-20; $19,301,636.34 
abr-20; $16,627,970.21 
may-20; $17,656,949.25 
jun-20; $18,544,484.76 
jul-20; $16,771,466.83 
ago-20; $17,638,499.77 
sep-20; $17,800,033.69 
oct-20; $22,258,941.06 
nov-20; $26,233,159.60 
dic-20; $26,529,517.64 
ene-21; $24,956,001.35 
feb-21; $22,836,449.86 
mar-21; $27,414,470.67 
abr-21; $26,157,868.06 
may-21; $27,003,175.71 
jun-21; $26,679,479.58 
jul-21; $24,273,388.14 
ago-21; $27,002,075.83 
sep-21; $27,508,115.01 
oct-21; $26,029,081.02 
nov-21; $27,148,846.73 
dic-21; $26,652,089.84 
ene-22; $25,816,464.71 
feb-22; $24,312,455.55 
mar-22; $28,507,040.42 
abr-22; $25,817,443.75 
may-22; $26,798,536.88 
jun-22; $25,356,177.97 
jul-22; $25,912,376.81 
ago-22; $27,884,481.36 
sep-22; $26,559,760.91 
oct-22; $25,841,198.02 
nov-22; $27,142,639.15 
dic-22; $27,020,878.48 
ene-23; $27,126,639.53 
feb-23; $25,066,771.76 
mar-23; $28,050,271.68 
abr-23; $25,794,414.60 
may-23; $28,646,552.61 
