Entity,Code,Year,"Other renewables (TWh, substituted energy)","Biofuels","Solar (TWh, substituted energy)","Coal (TWh, substituted energy)","Gas (TWh, substituted energy)","Oil","Wind (TWh, substituted energy)","Nuclear (TWh, substituted energy)","Hydropower (TWh, substituted energy)","Traditional biomass (TWh, substituted energy)"
World,OWID_WRL,1800,0,0,0,97,0,0,0,0,0,5556
World,OWID_WRL,1810,0,0,0,128,0,0,0,0,0,5833
World,OWID_WRL,1820,0,0,0,153,0,0,0,0,0,6111
World,OWID_WRL,1830,0,0,0,264,0,0,0,0,0,6389
World,OWID_WRL,1840,0,0,0,356,0,0,0,0,0,6944
World,OWID_WRL,1850,0,0,0,569,0,0,0,0,0,7222
World,OWID_WRL,1860,0,0,0,1061,0,0,0,0,0,6944
World,OWID_WRL,1870,0,0,0,1642,0,6,0,0,0,6944
World,OWID_WRL,1880,0,0,0,2542,0,33,0,0,0,6944
World,OWID_WRL,1890,0,0,0,3856,33,89,0,0,38.88889,6667
World,OWID_WRL,1900,0,0,0,5728,64,181,0,0,47.22222,6111
World,OWID_WRL,1910,0,0,0,8656,142,397,0,0,91.666664,6389
World,OWID_WRL,1920,0,0,0,9833,233,889,0,0,177.77777,6944
World,OWID_WRL,1930,0,0,0,10125,603,1756,0,0,363.8889,7222
World,OWID_WRL,1940,0,0,0,11586,875,2653,0,0,533.3333,7222
World,OWID_WRL,1950,0,0,0,12603,2092,5444,0,0,925,7500
World,OWID_WRL,1960,0,0,0,15442,4472,11097,0,0,1913.8889,8889
